Film,LAND,
0023726,Germany,1
0023727,Germany,1
0023734,Austria,1
0023735,France,1
0023740,United States,1
0023743,United States,1
0023760,Germany,1
0023840,Germany,1
0023845,United Kingdom,1
0023860,United States,1
0023862,France,1
0023888,Germany,1
0023929,France,1
0023933,France,1
0023945,United States,1
0023956,United Kingdom,1
0023974,Germany,1
0023978,Hungary,1
0023996,United Kingdom,1
0024003,Sweden,1
0024015,United Kingdom,1
0024023,Germany,1
0024027,Germany,1
0024036,Germany,1
0024053,Germany,1
0024055,United Kingdom,1
0024081,Germany,1
0024087,Germany,1
0024088,United Kingdom,1
0024098,Germany,1
0024099,Germany,1
0024117,Germany,1
0024134,Germany,1
0024161,United Kingdom,1
0024169,Germany,1
0024171,Germany,1
0024177,France,1
0024181,Germany,1
0024190,United Kingdom,1
0024202,Germany,1
0024203,Denmark,1
0024207,Germany,1
0024208,Germany,1
0024215,Germany,1
0024225,Germany,1
0024236,Germany,1
0024249,Austria,1
0024251,Germany,1
0024252,Germany,1
0024253,Germany,1
0024254,Germany,1
0024274,United Kingdom,1
0024282,Germany,1
0024287,Austria,1
0024303,Germany,1
0024318,Germany,1
0024352,Germany,1
0024363,United States,1
0024364,United States,1
0024370,Germany,1
0024371,Germany,1
0024409,France,1
0024417,United Kingdom,1
0024457,Germany,1
0024469,United Kingdom,1
0024481,United States,1
0024493,Germany,1
0024513,Hungary,1
0024514,Germany,1
0024519,Germany,1
0024520,Germany,1
0024525,Germany,1
0024527,Germany,1
0024532,United Kingdom,1
0024538,United States,1
0024571,Germany,1
0024574,United Kingdom,1
0024582,Germany,1
0024597,United Kingdom,1
0024600,Germany,1
0024606,Germany,1
0024607,Germany,1
0024652,United Kingdom,1
0024657,United Kingdom,1
0024689,France,1
0024693,Austria,1
0024703,Germany,1
0024711,Germany,1
0024715,Germany,1
0024716,Germany,1
0024719,France,1
0024720,France,1
0024723,Germany,1
0024724,Germany,1
0024736,Germany,1
0024746,United Kingdom,1
0024747,United Kingdom,1
0024749,Germany,1
0024750,United Kingdom,1
0024754,Germany,1
0024758,Germany,1
0024798,Germany,1
0024802,Germany,1
0024806,Germany,1
0024812,Germany,1
0024896,Netherlands,1
0024900,United Kingdom,1
0024933,United Kingdom,1
0024940,Hungary,1
0024952,United States,1
0024962,United Kingdom,1
0024978,United Kingdom,1
0024989,United Kingdom,1
0024998,United Kingdom,1
0025005,United States,1
0025012,France,1
0025060,Netherlands,1
0025067,Spain,1
0025078,Germany,1
0025082,Hungary,1
0025085,Germany,1
0025092,United Kingdom,1
0025095,Germany,1
0025101,United States,1
0025106,Germany,1
0025138,Austria,1
0025139,Germany,1
0025158,Poland,1
0025183,Germany,1
0025186,United Kingdom,1
0025189,Germany,1
0025230,Germany,1
0025241,Germany,1
0025242,Germany,1
0025245,Austria,1
0025248,Czechoslovakia,1
0025257,Germany,1
0025258,Austria,1
0025275,United Kingdom,1
0025281,United States,1
0025295,Hungary,1
0025298,Germany,1
0025304,Germany,1
0025314,United Kingdom,1
0025319,Hungary,1
0025320,United Kingdom,1
0025324,Netherlands,1
0025329,United Kingdom,1
0025336,Germany,1
0025353,Poland,1
0025362,France,1
0025386,Germany,1
0025388,Germany,1
0025390,Germany,1
0025396,Hungary,1
0025397,France,1
0025406,United Kingdom,1
0025411,Austria,1
0025444,United States,1
0025447,Netherlands,1
0025452,United Kingdom,1
0025478,Austria,1
0025480,France,1
0025483,Germany,1
0025484,Netherlands,1
0025512,France,1
0025536,United States,1
0025540,United Kingdom,1
0025550,Germany,1
0025555,United States,1
0025561,Netherlands,1
0025581,France,1
0025582,Germany,1
0025593,United States,1
0025597,United States,1
0025603,Netherlands,1
0025617,United States,1
0025638,Germany,1
0025642,Germany,1
0025647,Austria,1
0025661,Austria,1
0025678,United Kingdom,1
0025679,Germany,1
0025684,Poland,1
0025694,United Kingdom,1
0025698,United Kingdom,1
0025708,Germany,1
0025730,France,1
0025746,United States,1
0025753,Germany,1
0025761,Spain,1
0025791,Italy,1
0025828,United States,1
0025831,Germany,1
0025918,Germany,1
0025925,United Kingdom,1
0025927,Germany,1
0025943,Germany,1
0025944,Germany,1
0025952,Austria,1
0025953,Soviet Union,1
0025993,Switzerland,1
0025994,Netherlands,1
0026007,United States,1
0026026,Austria,1
0026032,United Kingdom,1
0026069,Germany,1
0026071,United States,1
0026079,Germany,1
0026083,Germany,1
0026084,Germany,1
0026088,Spain,1
0026090,Palestine,1
0026098,Germany,1
0026115,Netherlands,1
0026125,Germany,1
0026179,United Kingdom,1
0026188,Italy,1
0026193,France,1
0026202,United Kingdom,1
0026204,United Kingdom,1
0026246,United States,1
0026250,Hungary,1
0026256,United Kingdom,1
0026276,United States,1
0026278,Italy,1
0026280,France,1
0026284,Poland,1
0026304,United States,1
0026311,Hungary,1
0026312,United Kingdom,1
0026316,Austria,1
0026317,Austria,1
0026319,United States,1
0026320,United Kingdom,1
0026324,Austria,1
0026330,Austria,1
0026336,Netherlands,1
0026339,Spain,1
0026361,United Kingdom,1
0026369,United States,1
0026384,Germany,1
0026389,Hungary,1
0026397,Austria,1
0026417,United States,1
0026438,United States,1
0026446,United Kingdom,1
0026460,United Kingdom,1
0026467,United States,1
0026472,Austria,1
0026500,Italy,1
0026509,United Kingdom,1
0026516,Germany,1
0026521,Austria,1
0026533,United Kingdom,1
0026557,Switzerland,1
0026561,Germany,1
0026576,Hungary,1
0026578,Germany,1
0026579,Austria,1
0026584,Netherlands,1
0026589,Germany,1
0026609,United States,1
0026631,Germany,1
0026653,United States,1
0026657,United Kingdom,1
0026662,Germany,1
0026663,United States,1
0026670,Spain,1
0026692,Germany,1
0026694,United Kingdom,1
0026714,United States,1
0026745,Spain,1
0026750,Germany,1
0026752,United States,1
0026754,Netherlands,1
0026764,Germany,1
0026775,United States,1
0026778,United States,1
0026786,United Kingdom,1
0026826,Netherlands,1
0026854,United Kingdom,1
0026864,United States,1
0026866,United States,1
0026873,Spain,1
0026876,Austria,1
0026899,Germany,1
0026930,United Kingdom,1
0026948,Spain,1
0026969,Germany,1
0026993,Germany,1
0027048,Germany,1
0027055,Germany,1
0027056,Germany,1
0027078,France,1
0027131,United Kingdom,1
0027149,Germany,1
0027172,Spain,1
0027173,France,1
0027193,Germany,1
0027195,Germany,1
0027223,Germany,1
0027238,Germany,1
0027245,Poland,1
0027276,Germany,1
0027285,United Kingdom,1
0027286,United Kingdom,1
0027311,United Kingdom,1
0027317,Germany,1
0027319,Germany,1
0027320,France,1
0027329,United Kingdom,1
0027330,Italy,1
0027340,Poland,1
0027347,United Kingdom,1
0027375,Poland,1
0027378,Poland,1
0027388,Soviet Union,1
0027400,United Kingdom,1
0027409,Austria,1
0027412,Hungary,1
0027450,Italy,1
0027476,United Kingdom,1
0027515,United States,1
0027528,United Kingdom,1
0027535,United States,1
0027557,Hungary,1
0027570,Hungary,1
0027575,Germany,1
0027578,Austria,1
0027580,Germany,1
0027590,United Kingdom,1
0027591,United Kingdom,1
0027603,Germany,1
0027635,United Kingdom,1
0027640,Austria,1
0027641,Germany,1
0027642,Austria,1
0027648,Switzerland,1
0027652,United States,1
0027657,United States,1
0027680,United States,1
